ID,Max_Similarity
SMILES_0,1.0
SMILES_1,1.0
SMILES_2,1.0
SMILES_3,0.32
SMILES_4,1.0
SMILES_5,1.0
SMILES_6,1.0
SMILES_7,1.0
SMILES_8,1.0
SMILES_9,1.0
SMILES_10,1.0
SMILES_11,1.0
SMILES_12,1.0
SMILES_13,1.0
SMILES_14,1.0
SMILES_15,1.0
SMILES_16,1.0
SMILES_17,1.0
SMILES_18,1.0
SMILES_19,1.0
SMILES_20,
SMILES_21,1.0
SMILES_22,1.0
SMILES_23,1.0
SMILES_24,1.0
SMILES_25,1.0
SMILES_26,
SMILES_27,1.0
SMILES_28,0.6956521739130435
SMILES_29,1.0
SMILES_30,1.0
SMILES_31,1.0
SMILES_32,
SMILES_33,1.0
SMILES_34,1.0
SMILES_35,1.0
SMILES_36,1.0
SMILES_37,1.0
SMILES_38,1.0
SMILES_39,1.0
SMILES_40,1.0
SMILES_41,1.0
SMILES_42,1.0
SMILES_43,0.7241379310344828
SMILES_44,0.72
SMILES_45,1.0
SMILES_46,1.0
SMILES_47,1.0
SMILES_48,0.72
SMILES_49,1.0
SMILES_50,1.0
SMILES_51,0.6923076923076923
SMILES_52,1.0
SMILES_53,0.7037037037037037
SMILES_54,1.0
SMILES_55,1.0
SMILES_56,1.0
SMILES_57,1.0
SMILES_58,
SMILES_59,0.72
SMILES_60,1.0
SMILES_61,1.0
SMILES_62,1.0
SMILES_63,1.0
SMILES_64,1.0
SMILES_65,1.0
SMILES_66,0.25
SMILES_67,1.0
SMILES_68,1.0
SMILES_69,1.0
SMILES_70,1.0
SMILES_71,1.0
SMILES_72,1.0
SMILES_73,1.0
SMILES_74,1.0
SMILES_75,1.0
SMILES_76,0.34615384615384615
SMILES_77,1.0
SMILES_78,1.0
SMILES_79,1.0
SMILES_80,1.0
SMILES_81,
SMILES_82,1.0
SMILES_83,1.0
SMILES_84,1.0
SMILES_85,1.0
SMILES_86,1.0
SMILES_87,1.0
SMILES_88,1.0
SMILES_89,1.0
SMILES_90,1.0
SMILES_91,1.0
SMILES_92,0.72
SMILES_93,1.0
SMILES_94,1.0
SMILES_95,1.0
SMILES_96,1.0
SMILES_97,1.0
SMILES_98,1.0
SMILES_99,
SMILES_100,1.0
SMILES_101,0.5652173913043478
SMILES_102,1.0
SMILES_103,1.0
SMILES_104,1.0
SMILES_105,1.0
SMILES_106,1.0
SMILES_107,1.0
SMILES_108,0.72
SMILES_109,1.0
SMILES_110,1.0
SMILES_111,1.0
SMILES_112,0.21875
SMILES_113,
SMILES_114,1.0
SMILES_115,
SMILES_116,1.0
SMILES_117,1.0
SMILES_118,1.0
SMILES_119,0.8
SMILES_120,1.0
SMILES_121,1.0
SMILES_122,1.0
SMILES_123,1.0
SMILES_124,1.0
SMILES_125,1.0
SMILES_126,1.0
SMILES_127,1.0
SMILES_128,1.0
SMILES_129,1.0
SMILES_130,1.0
SMILES_131,1.0
SMILES_132,1.0
SMILES_133,0.7209302325581395
SMILES_134,1.0
SMILES_135,1.0
SMILES_136,1.0
SMILES_137,1.0
SMILES_138,1.0
SMILES_139,0.04
SMILES_140,1.0
SMILES_141,1.0
SMILES_142,1.0
SMILES_143,0.7037037037037037
SMILES_144,1.0
SMILES_145,1.0
SMILES_146,1.0
SMILES_147,1.0
SMILES_148,1.0
SMILES_149,1.0
SMILES_150,0.6666666666666666
SMILES_151,1.0
SMILES_152,1.0
SMILES_153,1.0
SMILES_154,1.0
SMILES_155,1.0
SMILES_156,1.0
SMILES_157,1.0
SMILES_158,1.0
SMILES_159,1.0
SMILES_160,1.0
SMILES_161,1.0
SMILES_162,1.0
SMILES_163,1.0
SMILES_164,
SMILES_165,1.0
SMILES_166,1.0
SMILES_167,1.0
SMILES_168,1.0
SMILES_169,1.0
SMILES_170,1.0
SMILES_171,1.0
SMILES_172,1.0
SMILES_173,1.0
SMILES_174,1.0
SMILES_175,0.8
SMILES_176,1.0
SMILES_177,1.0
SMILES_178,1.0
SMILES_179,1.0
SMILES_180,0.7090909090909091
SMILES_181,1.0
SMILES_182,0.72
SMILES_183,1.0
SMILES_184,0.5142857142857142
SMILES_185,1.0
SMILES_186,1.0
SMILES_187,1.0
SMILES_188,
SMILES_189,1.0
SMILES_190,1.0
SMILES_191,1.0
SMILES_192,
SMILES_193,1.0
SMILES_194,1.0
SMILES_195,1.0
SMILES_196,0.32
SMILES_197,
SMILES_198,1.0
SMILES_199,1.0
SMILES_200,1.0
SMILES_201,1.0
SMILES_202,0.7037037037037037
SMILES_203,1.0
SMILES_204,1.0
SMILES_205,1.0
SMILES_206,0.631578947368421
SMILES_207,1.0
SMILES_208,1.0
SMILES_209,1.0
SMILES_210,1.0
SMILES_211,1.0
SMILES_212,0.7090909090909091
SMILES_213,1.0
SMILES_214,1.0
SMILES_215,1.0
SMILES_216,
SMILES_217,1.0
SMILES_218,1.0
SMILES_219,1.0
SMILES_220,1.0
SMILES_221,1.0
SMILES_222,1.0
SMILES_223,1.0
SMILES_224,1.0
SMILES_225,1.0
SMILES_226,1.0
SMILES_227,1.0
SMILES_228,
SMILES_229,1.0
SMILES_230,1.0
SMILES_231,1.0
SMILES_232,1.0
SMILES_233,1.0
SMILES_234,1.0
SMILES_235,1.0
SMILES_236,1.0
SMILES_237,
SMILES_238,1.0
SMILES_239,1.0
SMILES_240,0.7631578947368421
SMILES_241,
SMILES_242,1.0
SMILES_243,0.72
SMILES_244,1.0
SMILES_245,1.0
SMILES_246,1.0
SMILES_247,1.0
SMILES_248,0.72
SMILES_249,1.0
SMILES_250,1.0
SMILES_251,0.8125
SMILES_252,
SMILES_253,1.0
SMILES_254,1.0
SMILES_255,1.0
SMILES_256,1.0
SMILES_257,1.0
SMILES_258,1.0
SMILES_259,1.0
SMILES_260,1.0
SMILES_261,1.0
SMILES_262,0.72
SMILES_263,
SMILES_264,1.0
SMILES_265,1.0
SMILES_266,1.0
SMILES_267,0.5652173913043478
SMILES_268,0.7037037037037037
SMILES_269,1.0
SMILES_270,0.32
SMILES_271,1.0
SMILES_272,1.0
SMILES_273,1.0
SMILES_274,0.7090909090909091
SMILES_275,1.0
SMILES_276,1.0
SMILES_277,
SMILES_278,1.0
SMILES_279,1.0
SMILES_280,1.0
SMILES_281,1.0
SMILES_282,1.0
SMILES_283,1.0
SMILES_284,0.72
SMILES_285,1.0
SMILES_286,1.0
SMILES_287,1.0
SMILES_288,1.0
SMILES_289,1.0
SMILES_290,1.0
SMILES_291,0.34615384615384615
SMILES_292,0.3225806451612903
SMILES_293,1.0
SMILES_294,1.0
SMILES_295,1.0
SMILES_296,1.0
SMILES_297,1.0
SMILES_298,1.0
SMILES_299,1.0
SMILES_300,1.0
SMILES_301,0.7
SMILES_302,
SMILES_303,1.0
SMILES_304,1.0
SMILES_305,1.0
SMILES_306,1.0
SMILES_307,0.72
SMILES_308,1.0
SMILES_309,1.0
SMILES_310,0.7241379310344828
SMILES_311,0.6578947368421053
SMILES_312,1.0
SMILES_313,1.0
SMILES_314,1.0
SMILES_315,1.0
SMILES_316,1.0
SMILES_317,1.0
SMILES_318,0.04
SMILES_319,1.0
SMILES_320,1.0
SMILES_321,0.7037037037037037
SMILES_322,0.04
SMILES_323,
SMILES_324,1.0
SMILES_325,1.0
SMILES_326,1.0
SMILES_327,1.0
SMILES_328,1.0
SMILES_329,
SMILES_330,1.0
SMILES_331,1.0
SMILES_332,0.6923076923076923
SMILES_333,1.0
SMILES_334,1.0
SMILES_335,1.0
SMILES_336,1.0
SMILES_337,1.0
SMILES_338,1.0
SMILES_339,1.0
SMILES_340,1.0
SMILES_341,1.0
SMILES_342,1.0
SMILES_343,1.0
SMILES_344,1.0
SMILES_345,1.0
SMILES_346,1.0
SMILES_347,1.0
SMILES_348,0.7037037037037037
SMILES_349,0.72
SMILES_350,0.72
SMILES_351,
SMILES_352,1.0
SMILES_353,1.0
SMILES_354,1.0
SMILES_355,0.32
SMILES_356,1.0
SMILES_357,1.0
SMILES_358,1.0
SMILES_359,1.0
SMILES_360,1.0
SMILES_361,1.0
SMILES_362,1.0
SMILES_363,1.0
SMILES_364,1.0
SMILES_365,1.0
SMILES_366,0.6764705882352942
SMILES_367,0.72
SMILES_368,1.0
SMILES_369,1.0
SMILES_370,1.0
SMILES_371,1.0
SMILES_372,1.0
SMILES_373,1.0
SMILES_374,1.0
SMILES_375,1.0
SMILES_376,1.0
SMILES_377,1.0
SMILES_378,1.0
SMILES_379,
SMILES_380,
SMILES_381,1.0
SMILES_382,1.0
SMILES_383,1.0
SMILES_384,1.0
SMILES_385,0.7346938775510204
SMILES_386,1.0
SMILES_387,1.0
SMILES_388,1.0
SMILES_389,1.0
SMILES_390,1.0
SMILES_391,1.0
SMILES_392,0.7090909090909091
SMILES_393,1.0
SMILES_394,1.0
SMILES_395,1.0
SMILES_396,
SMILES_397,1.0
SMILES_398,1.0
SMILES_399,1.0
SMILES_400,1.0
SMILES_401,1.0
SMILES_402,1.0
SMILES_403,1.0
SMILES_404,1.0
SMILES_405,1.0
SMILES_406,0.6122448979591837
SMILES_407,1.0
SMILES_408,
SMILES_409,1.0
SMILES_410,1.0
SMILES_411,1.0
SMILES_412,1.0
SMILES_413,1.0
SMILES_414,1.0
SMILES_415,
SMILES_416,1.0
SMILES_417,0.7291666666666666
SMILES_418,1.0
SMILES_419,1.0
SMILES_420,1.0
SMILES_421,1.0
SMILES_422,1.0
SMILES_423,1.0
SMILES_424,1.0
SMILES_425,1.0
SMILES_426,1.0
SMILES_427,1.0
SMILES_428,1.0
SMILES_429,1.0
SMILES_430,0.34615384615384615
SMILES_431,1.0
SMILES_432,1.0
SMILES_433,1.0
SMILES_434,1.0
SMILES_435,1.0
SMILES_436,1.0
SMILES_437,1.0
SMILES_438,1.0
SMILES_439,1.0
SMILES_440,1.0
SMILES_441,1.0
SMILES_442,1.0
SMILES_443,1.0
SMILES_444,1.0
SMILES_445,1.0
SMILES_446,0.7090909090909091
SMILES_447,1.0
SMILES_448,1.0
SMILES_449,1.0
SMILES_450,1.0
SMILES_451,1.0
SMILES_452,1.0
SMILES_453,1.0
SMILES_454,0.40816326530612246
SMILES_455,1.0
SMILES_456,1.0
SMILES_457,1.0
SMILES_458,1.0
SMILES_459,1.0
SMILES_460,0.6122448979591837
SMILES_461,0.5128205128205128
SMILES_462,0.7037037037037037
SMILES_463,1.0
SMILES_464,1.0
SMILES_465,0.5652173913043478
SMILES_466,1.0
SMILES_467,1.0
SMILES_468,1.0
SMILES_469,1.0
SMILES_470,1.0
SMILES_471,1.0
SMILES_472,1.0
SMILES_473,
SMILES_474,1.0
SMILES_475,
SMILES_476,0.34615384615384615
SMILES_477,1.0
SMILES_478,1.0
SMILES_479,1.0
SMILES_480,1.0
SMILES_481,1.0
SMILES_482,0.5652173913043478
SMILES_483,1.0
SMILES_484,1.0
SMILES_485,1.0
SMILES_486,0.6923076923076923
SMILES_487,0.6923076923076923
SMILES_488,1.0
SMILES_489,
SMILES_490,0.72
SMILES_491,1.0
SMILES_492,1.0
SMILES_493,1.0
SMILES_494,1.0
SMILES_495,1.0
SMILES_496,1.0
SMILES_497,1.0
SMILES_498,1.0
SMILES_499,1.0
SMILES_500,1.0
SMILES_501,0.72
SMILES_502,1.0
SMILES_503,1.0
SMILES_504,1.0
SMILES_505,1.0
SMILES_506,1.0
SMILES_507,0.7083333333333334
SMILES_508,1.0
SMILES_509,1.0
SMILES_510,1.0
SMILES_511,1.0
SMILES_512,1.0
SMILES_513,1.0
SMILES_514,1.0
SMILES_515,0.7391304347826086
SMILES_516,1.0
SMILES_517,0.72
SMILES_518,
SMILES_519,1.0
SMILES_520,0.6923076923076923
SMILES_521,1.0
SMILES_522,1.0
SMILES_523,1.0
SMILES_524,1.0
SMILES_525,1.0
SMILES_526,1.0
SMILES_527,1.0
SMILES_528,1.0
SMILES_529,1.0
SMILES_530,1.0
SMILES_531,1.0
SMILES_532,1.0
SMILES_533,0.72
SMILES_534,1.0
SMILES_535,1.0
SMILES_536,1.0
SMILES_537,0.72
SMILES_538,1.0
SMILES_539,1.0
SMILES_540,1.0
SMILES_541,1.0
SMILES_542,1.0
SMILES_543,1.0
SMILES_544,1.0
SMILES_545,0.7241379310344828
SMILES_546,0.6923076923076923
SMILES_547,1.0
SMILES_548,1.0
SMILES_549,0.72
SMILES_550,1.0
SMILES_551,0.34615384615384615
SMILES_552,0.7555555555555555
SMILES_553,1.0
SMILES_554,1.0
SMILES_555,0.7037037037037037
SMILES_556,1.0
SMILES_557,1.0
SMILES_558,1.0
SMILES_559,1.0
SMILES_560,1.0
SMILES_561,1.0
SMILES_562,1.0
SMILES_563,1.0
SMILES_564,0.32
SMILES_565,1.0
SMILES_566,1.0
SMILES_567,0.7894736842105263
SMILES_568,1.0
SMILES_569,1.0
SMILES_570,1.0
SMILES_571,1.0
SMILES_572,1.0
SMILES_573,1.0
SMILES_574,1.0
SMILES_575,1.0
SMILES_576,1.0
SMILES_577,1.0
SMILES_578,1.0
SMILES_579,1.0
SMILES_580,1.0
SMILES_581,0.627906976744186
SMILES_582,0.5
SMILES_583,0.7037037037037037
SMILES_584,1.0
SMILES_585,1.0
SMILES_586,1.0
SMILES_587,0.7166666666666667
SMILES_588,1.0
SMILES_589,1.0
SMILES_590,1.0
SMILES_591,1.0
SMILES_592,1.0
SMILES_593,1.0
SMILES_594,
SMILES_595,
SMILES_596,1.0
SMILES_597,1.0
SMILES_598,1.0
SMILES_599,1.0
SMILES_600,
SMILES_601,
SMILES_602,1.0
SMILES_603,1.0
SMILES_604,1.0
SMILES_605,1.0
SMILES_606,1.0
SMILES_607,1.0
SMILES_608,1.0
SMILES_609,1.0
SMILES_610,0.72
SMILES_611,1.0
SMILES_612,1.0
SMILES_613,1.0
SMILES_614,1.0
SMILES_615,0.7090909090909091
SMILES_616,1.0
SMILES_617,1.0
SMILES_618,1.0
SMILES_619,1.0
SMILES_620,1.0
SMILES_621,
SMILES_622,1.0
SMILES_623,1.0
SMILES_624,1.0
SMILES_625,1.0
SMILES_626,1.0
SMILES_627,1.0
SMILES_628,1.0
SMILES_629,1.0
SMILES_630,1.0
SMILES_631,1.0
SMILES_632,1.0
SMILES_633,0.55
SMILES_634,1.0
SMILES_635,1.0
SMILES_636,0.6666666666666666
SMILES_637,1.0
SMILES_638,1.0
SMILES_639,1.0
SMILES_640,1.0
SMILES_641,1.0
SMILES_642,1.0
SMILES_643,1.0
SMILES_644,1.0
SMILES_645,0.6530612244897959
SMILES_646,0.7435897435897436
SMILES_647,1.0
SMILES_648,1.0
SMILES_649,1.0
SMILES_650,1.0
SMILES_651,
SMILES_652,1.0
SMILES_653,1.0
SMILES_654,1.0
SMILES_655,1.0
SMILES_656,0.5652173913043478
SMILES_657,0.04
SMILES_658,
SMILES_659,1.0
SMILES_660,1.0
SMILES_661,1.0
SMILES_662,1.0
SMILES_663,
SMILES_664,1.0
SMILES_665,
SMILES_666,1.0
SMILES_667,1.0
SMILES_668,1.0
SMILES_669,1.0
SMILES_670,1.0
SMILES_671,1.0
SMILES_672,1.0
SMILES_673,1.0
SMILES_674,1.0
SMILES_675,0.04
SMILES_676,1.0
SMILES_677,1.0
SMILES_678,1.0
SMILES_679,0.7037037037037037
SMILES_680,
SMILES_681,0.5652173913043478
SMILES_682,0.72
SMILES_683,1.0
SMILES_684,0.7090909090909091
SMILES_685,1.0
SMILES_686,1.0
SMILES_687,1.0
SMILES_688,1.0
SMILES_689,1.0
SMILES_690,1.0
SMILES_691,1.0
SMILES_692,1.0
SMILES_693,1.0
SMILES_694,1.0
SMILES_695,1.0
SMILES_696,1.0
SMILES_697,0.32
SMILES_698,1.0
SMILES_699,1.0
SMILES_700,1.0
SMILES_701,0.7037037037037037
SMILES_702,1.0
SMILES_703,1.0
SMILES_704,1.0
SMILES_705,1.0
SMILES_706,1.0
SMILES_707,1.0
SMILES_708,1.0
SMILES_709,1.0
SMILES_710,1.0
SMILES_711,1.0
SMILES_712,0.7090909090909091
SMILES_713,0.72
SMILES_714,1.0
SMILES_715,
SMILES_716,1.0
SMILES_717,1.0
SMILES_718,1.0
SMILES_719,1.0
SMILES_720,0.04
SMILES_721,1.0
SMILES_722,1.0
SMILES_723,1.0
SMILES_724,1.0
SMILES_725,0.7090909090909091
SMILES_726,1.0
SMILES_727,1.0
SMILES_728,1.0
SMILES_729,1.0
SMILES_730,1.0
SMILES_731,1.0
SMILES_732,1.0
SMILES_733,1.0
SMILES_734,1.0
SMILES_735,1.0
SMILES_736,1.0
SMILES_737,0.72
SMILES_738,0.32
SMILES_739,1.0
SMILES_740,1.0
SMILES_741,1.0
SMILES_742,1.0
SMILES_743,1.0
SMILES_744,1.0
SMILES_745,1.0
SMILES_746,0.7441860465116279
SMILES_747,
SMILES_748,
SMILES_749,1.0
SMILES_750,1.0
SMILES_751,1.0
SMILES_752,1.0
SMILES_753,1.0
SMILES_754,1.0
SMILES_755,0.04
SMILES_756,1.0
SMILES_757,1.0
SMILES_758,1.0
SMILES_759,0.7555555555555555
SMILES_760,
SMILES_761,
SMILES_762,1.0
SMILES_763,1.0
SMILES_764,1.0
SMILES_765,1.0
SMILES_766,1.0
SMILES_767,1.0
SMILES_768,1.0
SMILES_769,1.0
SMILES_770,1.0
SMILES_771,1.0
SMILES_772,1.0
SMILES_773,1.0
SMILES_774,1.0
SMILES_775,1.0
SMILES_776,1.0
SMILES_777,1.0
SMILES_778,1.0
SMILES_779,1.0
SMILES_780,
SMILES_781,1.0
SMILES_782,0.34615384615384615
SMILES_783,1.0
SMILES_784,1.0
SMILES_785,
SMILES_786,1.0
SMILES_787,1.0
SMILES_788,1.0
SMILES_789,1.0
SMILES_790,1.0
SMILES_791,1.0
SMILES_792,1.0
SMILES_793,1.0
SMILES_794,1.0
SMILES_795,1.0
SMILES_796,1.0
SMILES_797,
SMILES_798,1.0
SMILES_799,1.0
SMILES_800,1.0
SMILES_801,1.0
SMILES_802,0.6666666666666666
SMILES_803,1.0
SMILES_804,1.0
SMILES_805,1.0
SMILES_806,0.7037037037037037
SMILES_807,1.0
SMILES_808,1.0
SMILES_809,
SMILES_810,1.0
SMILES_811,1.0
SMILES_812,1.0
SMILES_813,1.0
SMILES_814,0.7241379310344828
SMILES_815,0.7090909090909091
SMILES_816,1.0
SMILES_817,1.0
SMILES_818,1.0
SMILES_819,1.0
SMILES_820,1.0
SMILES_821,1.0
SMILES_822,1.0
SMILES_823,1.0
SMILES_824,0.72
SMILES_825,1.0
SMILES_826,1.0
SMILES_827,1.0
SMILES_828,1.0
SMILES_829,1.0
SMILES_830,1.0
SMILES_831,1.0
SMILES_832,1.0
SMILES_833,1.0
SMILES_834,0.5652173913043478
SMILES_835,1.0
SMILES_836,1.0
SMILES_837,1.0
SMILES_838,1.0
SMILES_839,1.0
SMILES_840,1.0
SMILES_841,0.7241379310344828
SMILES_842,1.0
SMILES_843,1.0
SMILES_844,1.0
SMILES_845,1.0
SMILES_846,1.0
SMILES_847,0.7241379310344828
SMILES_848,1.0
SMILES_849,
SMILES_850,1.0
SMILES_851,1.0
SMILES_852,0.5652173913043478
SMILES_853,0.6829268292682927
SMILES_854,1.0
SMILES_855,1.0
SMILES_856,0.76
SMILES_857,1.0
SMILES_858,1.0
SMILES_859,1.0
SMILES_860,1.0
SMILES_861,0.39344262295081966
SMILES_862,1.0
SMILES_863,
SMILES_864,1.0
SMILES_865,1.0
SMILES_866,1.0
SMILES_867,1.0
SMILES_868,1.0
SMILES_869,1.0
SMILES_870,1.0
SMILES_871,1.0
SMILES_872,1.0
SMILES_873,1.0
SMILES_874,1.0
SMILES_875,0.37777777777777777
SMILES_876,1.0
SMILES_877,1.0
SMILES_878,1.0
SMILES_879,1.0
SMILES_880,1.0
SMILES_881,0.34615384615384615
SMILES_882,1.0
SMILES_883,0.5454545454545454
SMILES_884,1.0
SMILES_885,1.0
SMILES_886,1.0
SMILES_887,1.0
SMILES_888,1.0
SMILES_889,
SMILES_890,1.0
SMILES_891,1.0
SMILES_892,1.0
SMILES_893,1.0
SMILES_894,1.0
SMILES_895,1.0
SMILES_896,1.0
SMILES_897,0.7555555555555555
SMILES_898,1.0
SMILES_899,
SMILES_900,1.0
SMILES_901,1.0
SMILES_902,1.0
SMILES_903,0.7090909090909091
SMILES_904,0.72
SMILES_905,1.0
SMILES_906,1.0
SMILES_907,0.7555555555555555
SMILES_908,1.0
SMILES_909,
SMILES_910,1.0
SMILES_911,1.0
SMILES_912,1.0
SMILES_913,1.0
SMILES_914,1.0
SMILES_915,1.0
SMILES_916,0.7090909090909091
SMILES_917,1.0
SMILES_918,1.0
SMILES_919,1.0
SMILES_920,1.0
SMILES_921,1.0
SMILES_922,1.0
SMILES_923,1.0
SMILES_924,1.0
SMILES_925,1.0
SMILES_926,
SMILES_927,1.0
SMILES_928,0.5652173913043478
SMILES_929,0.6666666666666666
SMILES_930,1.0
SMILES_931,1.0
SMILES_932,1.0
SMILES_933,1.0
SMILES_934,1.0
SMILES_935,0.7090909090909091
SMILES_936,0.32
SMILES_937,1.0
SMILES_938,1.0
SMILES_939,1.0
SMILES_940,1.0
SMILES_941,1.0
SMILES_942,1.0
SMILES_943,0.7037037037037037
SMILES_944,
SMILES_945,1.0
SMILES_946,1.0
SMILES_947,1.0
SMILES_948,1.0
SMILES_949,
SMILES_950,1.0
SMILES_951,1.0
SMILES_952,1.0
SMILES_953,0.5652173913043478
SMILES_954,1.0
SMILES_955,1.0
SMILES_956,1.0
SMILES_957,1.0
SMILES_958,1.0
SMILES_959,1.0
SMILES_960,1.0
SMILES_961,1.0
SMILES_962,1.0
SMILES_963,1.0
SMILES_964,1.0
SMILES_965,1.0
SMILES_966,
SMILES_967,1.0
SMILES_968,1.0
SMILES_969,1.0
SMILES_970,1.0
SMILES_971,1.0
SMILES_972,1.0
SMILES_973,
SMILES_974,1.0
SMILES_975,1.0
SMILES_976,1.0
SMILES_977,1.0
SMILES_978,0.72
SMILES_979,1.0
SMILES_980,1.0
SMILES_981,1.0
SMILES_982,1.0
SMILES_983,1.0
SMILES_984,1.0
SMILES_985,1.0
SMILES_986,1.0
SMILES_987,1.0
SMILES_988,1.0
SMILES_989,1.0
SMILES_990,1.0
SMILES_991,1.0
SMILES_992,1.0
SMILES_993,1.0
SMILES_994,1.0
SMILES_995,1.0
SMILES_996,1.0
SMILES_997,
SMILES_998,1.0
SMILES_999,1.0
